"","reserve","plot_name","distance_to_perim"
"1","McLaughlin","ML BURN G01 ",161.019236675091
"2","McLaughlin","ML BURN G02 ",173.180352945686
"3","McLaughlin","ML BURN G03 ",890.900266047144
"4","McLaughlin","ML BURN G04 ",128.771547182344
"5","McLaughlin","ML BURN G05 ",127.156420911535
"6","McLaughlin","ML BURN O01 ",148.145167815915
"7","McLaughlin","ML BURN O02 ",272.506879694542
"8","McLaughlin","ML BURN O03 ",946.595377634637
"9","McLaughlin","ML BURN O04 ",65.6361296402707
"10","McLaughlin","ML BURN O05 ",84.3371729188371
"11","McLaughlin","ML UNBURN G01 ",863.59456718732
"12","McLaughlin","ML UNBURN G02 ",1026.83819103686
"13","McLaughlin","ML UNBURN G03 ",116.722551775387
"14","McLaughlin","ML UNBURN G04 ",777.838697158492
"15","McLaughlin","ML UNBURN G05 ",822.559063661006
"16","McLaughlin","ML UNBURN O01 ",854.626214756878
"17","McLaughlin","ML UNBURN O02",240.178245166175
"18","McLaughlin","ML UNBURN O03 ",24.5373372289919
"19","McLaughlin","ML UNBURN O04 ",816.242214605486
"20","McLaughlin","ML UNBURN O05 ",755.657071933036
"21","Quail Ridge","QR BURN C01",1171.88828232043
"22","Quail Ridge","QR BURN C02 ",511.410901750334
"23","Quail Ridge","QR BURN C03 ",361.709592304203
"24","Quail Ridge","QR BURN C04",218.26803324384
"25","Quail Ridge","QR BURN C05",347.833124306677
"26","Quail Ridge","QR BURN G01",1489.37550606572
"27","Quail Ridge","QR BURN G02 ",1072.00698147137
"28","Quail Ridge","QR BURN G03 ",340.616692366123
"29","Quail Ridge","QR BURN G04",625.537288075743
"30","Quail Ridge","QR BURN G05",632.977849256537
"31","Quail Ridge","QR BURN O01",1141.52287131183
"32","Quail Ridge","QR BURN O02 ",509.987879937924
"33","Quail Ridge","QR BURN O03 ",327.323516017221
"34","Quail Ridge","QR BURN O04",158.019825268844
"35","Quail Ridge","QR BURN O05",370.016504157374
"36","Hastings","HT BURN C01 ",305.20257404522
"37","Hastings","HT BURN C02",494.41421824152
"38","Hastings","HT BURN C03 ",322.496330115468
"39","Hastings","HT BURN C04 ",57.7600159619445
"40","Hastings","HT BURN C05 ",38.4217730201659
"41","Hastings","HT BURN G01 ",657.967768316268
"42","Hastings","HT BURN G02 ",674.605506987709
"43","Hastings","HT BURN G03 ",602.848446276485
"44","Hastings","HT BURN G04 ",375.869456878912
"45","Hastings","HT BURN G05 ",121.351551812804
"46","Hastings","HT BURN O01 ",834.727521209082
"47","Hastings","HT BURN O02 ",742.59138242165
"48","Hastings","HT BURN O03 ",658.22937489822
"49","Hastings","HT BURN O04 ",590.458713507411
"50","Hastings","HT BURN O05 ",448.982127447655
"51","Hastings","HT UNBURN C01 ",196.369506451617
"52","Hastings","HT UNBURN C02",106.704949763374
"53","Hastings","HT UNBURN C03 ",166.338453151447
"54","Hastings","HT UNBURN C04 ",158.987011274677
"55","Hastings","HT UNBURN C05",113.861759448173
"56","Hastings","HT UNBURN G01 ",252.490029471389
"57","Hastings","HT UNBURN G02 ",269.159150150736
"58","Hastings","HT UNBURN G03 ",525.533220316433
"59","Hastings","HT UNBURN G04 ",420.420006233058
"60","Hastings","HT UNBURN G05 ",286.887932886832
"61","Hastings","HT UNBURN O01 ",573.081074579419
"62","Hastings","HT UNBURN O02",429.623724493776
"63","Hastings","HT UNBURN O03 ",154.419852112115
"64","Hastings","HT UNBURN O04 ",40.6181592435129
"65","Hastings","HT UNBURN O05 ",180.597674544657
"66","Big Creek","BC BURN G01 ",305.576688471498
"67","Big Creek","BC BURN G02 ",381.895665507493
"68","Big Creek","BC BURN G03 ",499.67340727835
"69","Big Creek","BC BURN G04 ",529.490005555815
"70","Big Creek","BC BURN G05",608.321794933626
"71","Big Creek","BC BURN R01 ",381.867034325163
"72","Big Creek","BC BURN R02 ",394.2826271492
"73","Big Creek","BC BURN R03 ",374.530449047376
"74","Big Creek","BC BURN R04",193.717458689993
"75","Big Creek","BC BURN R05 ",199.722072721807
"76","Big Creek","BC BURN S01 ",324.5486560943
"77","Big Creek","BC BURN S02 ",325.808927344623
"78","Big Creek","BC BURN S03 ",264.398115262618
"79","Big Creek","BC BURN S04",245.216639683291
"80","Big Creek","BC BURN S05",371.665312802137
"81","Big Creek","BC UNBURN R01",21.7017321412449
"82","Big Creek","BC UNBURN R02   ",35.4061629092449
"83","Big Creek","BC UNBURN R03",4.38162797016159
"84","Big Creek","BC UNBURN S01 ",103.12369314089
"85","Big Creek","BC UNBURN S02 ",128.384501485818
"86","Big Creek","BC UNBURN S03 ",93.0713370438861
"87","Big Creek","BC UNBURN S04 ",156.626734196294
"88","Big Creek","BC UNBURN S05 ",154.818842397298
