"","reserve","plot_name","treatment","veg_category","site","dNBR","pre_NBR","post_NBR","dNBR_class"
"1","McLaughlin","ML BURN G01 ","Burn","Grassland","1",0.240506329113924,0,-0.240506329113924,"Low Severity"
"2","McLaughlin","ML BURN G02 ","Burn","Grassland","2",0.158549783549784,-0.0535714285714286,-0.212121212121212,"Low Severity"
"3","McLaughlin","ML BURN G03 ","Burn","Grassland","3",0.112173913043478,-0.04,-0.152173913043478,"Low Severity"
"4","McLaughlin","ML BURN G04 ","Burn","Grassland","4",0.599836734693878,0.008,-0.591836734693878,"Moderate-High Severity"
"5","McLaughlin","ML BURN G05 ","Burn","Grassland","5",0.479352064793521,0.109489051094891,-0.36986301369863,"Moderate-High Severity"
"6","McLaughlin","ML BURN O01 ","Burn","Forest","1",0.356994603569946,0.151515151515152,-0.205479452054795,"Moderate-Low Severity"
"7","McLaughlin","ML BURN O02 ","Burn","Forest","2",0.155555555555556,0.222222222222222,0.0666666666666667,"Low Severity"
"8","McLaughlin","ML BURN O03 ","Burn","Forest","3",0.0612244897959184,0.0612244897959184,0,"Unburned"
"9","McLaughlin","ML BURN O04 ","Burn","Forest","4",0.144095595126523,0.257731958762887,0.113636363636364,"Low Severity"
"10","McLaughlin","ML BURN O05 ","Burn","Forest","5",0.0738636363636364,0.1875,0.113636363636364,"Unburned"
"11","McLaughlin","ML UNBURN G01 ","Unburn","Grassland","1",-0.0498768472906404,-0.103448275862069,-0.0535714285714286,"Unburned"
"12","McLaughlin","ML UNBURN G02 ","Unburn","Grassland","2",-0.0439317319848293,-0.079646017699115,-0.0357142857142857,"Unburned"
"13","McLaughlin","ML UNBURN G03 ","Unburn","Grassland","3",-0.0336348219332956,-0.0163934426229508,0.0172413793103448,"Unburned"
"14","McLaughlin","ML UNBURN G04 ","Unburn","Grassland","4",-0.0711038961038961,-0.0892857142857143,-0.0181818181818182,"Unburned"
"15","McLaughlin","ML UNBURN G05 ","Unburn","Grassland","5",-0.0892857142857143,-0.0892857142857143,0,"Unburned"
"16","McLaughlin","ML UNBURN O01 ","Unburn","Forest","1",0.00544662309368191,0.240740740740741,0.235294117647059,"Unburned"
"17","McLaughlin","ML UNBURN O02","Unburn","Forest","2",-0.0408797513746115,0.127659574468085,0.168539325842697,"Unburned"
"18","McLaughlin","ML UNBURN O03 ","Unburn","Forest","3",0.0247563352826511,0.203703703703704,0.178947368421053,"Unburned"
"19","McLaughlin","ML UNBURN O04 ","Unburn","Forest","4",-0.00129509713228493,0.339130434782609,0.340425531914894,"Unburned"
