"","plot_name","NDVI","year","reserve","treatment","veg_category","site"
"1","ML BURN G01 ",0.483955475766089,2020,"McLaughlin","Burn","Grassland","1"
"2","ML BURN G02 ",0.492624223955713,2020,"McLaughlin","Burn","Grassland","2"
"3","ML BURN G03 ",0.428381989718391,2020,"McLaughlin","Burn","Grassland","3"
"4","ML BURN G04 ",0.646699658214972,2020,"McLaughlin","Burn","Grassland","4"
"5","ML BURN G05 ",0.793521596532411,2020,"McLaughlin","Burn","Grassland","5"
"6","ML BURN O01 ",0.519076865626373,2020,"McLaughlin","Burn","Forest","1"
"7","ML BURN O02 ",0.570404382357529,2020,"McLaughlin","Burn","Forest","2"
"8","ML BURN O03 ",0.520227268909284,2020,"McLaughlin","Burn","Forest","3"
"9","ML BURN O04 ",0.57323470163266,2020,"McLaughlin","Burn","Forest","4"
"10","ML BURN O05 ",0.54802682486352,2020,"McLaughlin","Burn","Forest","5"
"11","ML UNBURN G01 ",0.446832280690583,2020,"McLaughlin","Unburn","Grassland","1"
"12","ML UNBURN G02 ",0.40445363341335,2020,"McLaughlin","Unburn","Grassland","2"
"13","ML UNBURN G03 ",0.644646092534555,2020,"McLaughlin","Unburn","Grassland","3"
"14","ML UNBURN G04 ",0.604408167911548,2020,"McLaughlin","Unburn","Grassland","4"
"15","ML UNBURN G05 ",0.48354847461395,2020,"McLaughlin","Unburn","Grassland","5"
"16","ML UNBURN O01 ",0.598758519390053,2020,"McLaughlin","Unburn","Forest","1"
"17","ML UNBURN O02",0.600662281580415,2020,"McLaughlin","Unburn","Forest","2"
"18","ML UNBURN O03 ",0.720620646687909,2020,"McLaughlin","Unburn","Forest","3"
"19","ML UNBURN O04 ",0.704151389123624,2020,"McLaughlin","Unburn","Forest","4"
"20","ML UNBURN O05 ",0.620835573190046,2020,"McLaughlin","Unburn","Forest","5"
"21","ML BURN G01 ",0.721287932566148,2021,"McLaughlin","Burn","Grassland","1"
"22","ML BURN G02 ",0.696404180291032,2021,"McLaughlin","Burn","Grassland","2"
"23","ML BURN G03 ",0.394011870726073,2021,"McLaughlin","Burn","Grassland","3"
"24","ML BURN G04 ",0.610750178664361,2021,"McLaughlin","Burn","Grassland","4"
"25","ML BURN G05 ",0.631963240340489,2021,"McLaughlin","Burn","Grassland","5"
"26","ML BURN O01 ",0.407410006012197,2021,"McLaughlin","Burn","Forest","1"
"27","ML BURN O02 ",0.431808879381856,2021,"McLaughlin","Burn","Forest","2"
"28","ML BURN O03 ",0.455305467761548,2021,"McLaughlin","Burn","Forest","3"
"29","ML BURN O04 ",0.39277157164357,2021,"McLaughlin","Burn","Forest","4"
"30","ML BURN O05 ",0.375280387151043,2021,"McLaughlin","Burn","Forest","5"
"31","ML UNBURN G01 ",0.462781532975584,2021,"McLaughlin","Unburn","Grassland","1"
"32","ML UNBURN G02 ",0.366437454972647,2021,"McLaughlin","Unburn","Grassland","2"
"33","ML UNBURN G03 ",0.673760817938929,2021,"McLaughlin","Unburn","Grassland","3"
"34","ML UNBURN G04 ",0.469419140072237,2021,"McLaughlin","Unburn","Grassland","4"
"35","ML UNBURN G05 ",0.566746580198528,2021,"McLaughlin","Unburn","Grassland","5"
"36","ML UNBURN O01 ",0.565778909802114,2021,"McLaughlin","Unburn","Forest","1"
"37","ML UNBURN O02",0.576064822890125,2021,"McLaughlin","Unburn","Forest","2"
"38","ML UNBURN O03 ",0.643453757393486,2021,"McLaughlin","Unburn","Forest","3"
"39","ML UNBURN O04 ",0.654439924146661,2021,"McLaughlin","Unburn","Forest","4"
"40","ML UNBURN O05 ",0.64790988006202,2021,"McLaughlin","Unburn","Forest","5"
"41","ML BURN G01 ",0.696514242196983,2022,"McLaughlin","Burn","Grassland","1"
"42","ML BURN G02 ",0.663002600101574,2022,"McLaughlin","Burn","Grassland","2"
"43","ML BURN G03 ",0.430507581235234,2022,"McLaughlin","Burn","Grassland","3"
"44","ML BURN G04 ",0.543393446738757,2022,"McLaughlin","Burn","Grassland","4"
"45","ML BURN G05 ",0.781540021081959,2022,"McLaughlin","Burn","Grassland","5"
"46","ML BURN O01 ",0.570257007412117,2022,"McLaughlin","Burn","Forest","1"
"47","ML BURN O02 ",0.612674768378437,2022,"McLaughlin","Burn","Forest","2"
"48","ML BURN O03 ",0.493781604924823,2022,"McLaughlin","Burn","Forest","3"
"49","ML BURN O04 ",0.559742153142208,2022,"McLaughlin","Burn","Forest","4"
"50","ML BURN O05 ",0.503452512432969,2022,"McLaughlin","Burn","Forest","5"
"51","ML UNBURN G01 ",0.435506401100089,2022,"McLaughlin","Unburn","Grassland","1"
"52","ML UNBURN G02 ",0.517198952606864,2022,"McLaughlin","Unburn","Grassland","2"
"53","ML UNBURN G03 ",0.489403806418974,2022,"McLaughlin","Unburn","Grassland","3"
"54","ML UNBURN G04 ",0.60580747465632,2022,"McLaughlin","Unburn","Grassland","4"
"55","ML UNBURN G05 ",0.514854896868774,2022,"McLaughlin","Unburn","Grassland","5"
"56","ML UNBURN O01 ",0.645885715696831,2022,"McLaughlin","Unburn","Forest","1"
"57","ML UNBURN O02",0.630841009389912,2022,"McLaughlin","Unburn","Forest","2"
"58","ML UNBURN O03 ",0.71223198925691,2022,"McLaughlin","Unburn","Forest","3"
"59","ML UNBURN O04 ",0.665471301295001,2022,"McLaughlin","Unburn","Forest","4"
"60","ML UNBURN O05 ",0.61428711134805,2022,"McLaughlin","Unburn","Forest","5"
"61","QR BURN C01",0.55,2020,"Quail Ridge","Burn","Scrub","1"
"62","QR BURN C02 ",0.59375,2020,"Quail Ridge","Burn","Scrub","2"
"63","QR BURN C03 ",0.655913978494624,2020,"Quail Ridge","Burn","Scrub","3"
"64","QR BURN C04",0.561576354679803,2020,"Quail Ridge","Burn","Scrub","4"
"65","QR BURN C05",0.56140350877193,2020,"Quail Ridge","Burn","Scrub","5"
"66","QR BURN G01",0.524166666666667,2020,"Quail Ridge","Burn","Grassland","1"
"67","QR BURN G02 ",0.519894894894895,2020,"Quail Ridge","Burn","Grassland","2"
"68","QR BURN G03 ",0.472946859903382,2020,"Quail Ridge","Burn","Grassland","3"
"69","QR BURN G04",0.821077245605548,2020,"Quail Ridge","Burn","Grassland","4"
"70","QR BURN G05",0.40472972972973,2020,"Quail Ridge","Burn","Grassland","5"
"71","QR BURN O01",0.813734567901235,2020,"Quail Ridge","Burn","Forest","1"
"72","QR BURN O02 ",0.814973262032086,2020,"Quail Ridge","Burn","Forest","2"
"73","QR BURN O03 ",0.802439024390244,2020,"Quail Ridge","Burn","Forest","3"
"74","QR BURN O04",0.843812805053115,2020,"Quail Ridge","Burn","Forest","4"
"75","QR BURN O05",0.832329317269076,2020,"Quail Ridge","Burn","Forest","5"
"76","QR BURN C01",0.190425261013496,2021,"Quail Ridge","Burn","Scrub","1"
"77","QR BURN C02 ",0.289094941272029,2021,"Quail Ridge","Burn","Scrub","2"
"78","QR BURN C03 ",0.18454606461509,2021,"Quail Ridge","Burn","Scrub","3"
"79","QR BURN C04",0.229275799258841,2021,"Quail Ridge","Burn","Scrub","4"
"80","QR BURN C05",0.292608020909908,2021,"Quail Ridge","Burn","Scrub","5"
"81","QR BURN G01",0.372473514593906,2021,"Quail Ridge","Burn","Grassland","1"
"82","QR BURN G02 ",0.45208280092001,2021,"Quail Ridge","Burn","Grassland","2"
"83","QR BURN G03 ",0.30752990851513,2021,"Quail Ridge","Burn","Grassland","3"
"84","QR BURN G04",0.680062784913127,2021,"Quail Ridge","Burn","Grassland","4"
"85","QR BURN G05",0.269475655430712,2021,"Quail Ridge","Burn","Grassland","5"
"86","QR BURN O01",0.249160270168674,2021,"Quail Ridge","Burn","Forest","1"
"87","QR BURN O02 ",0.351251784038669,2021,"Quail Ridge","Burn","Forest","2"
"88","QR BURN O03 ",0.358095238095238,2021,"Quail Ridge","Burn","Forest","3"
"89","QR BURN O04",0.711761390093866,2021,"Quail Ridge","Burn","Forest","4"
"90","QR BURN O05",0.648607594936709,2021,"Quail Ridge","Burn","Forest","5"
"91","QR BURN C01",0.505632183908046,2022,"Quail Ridge","Burn","Scrub","1"
"92","QR BURN C02 ",0.521990740740741,2022,"Quail Ridge","Burn","Scrub","2"
"93","QR BURN C03 ",0.523642322097378,2022,"Quail Ridge","Burn","Scrub","3"
"94","QR BURN C04",0.497378277153558,2022,"Quail Ridge","Burn","Scrub","4"
"95","QR BURN C05",0.560323734236778,2022,"Quail Ridge","Burn","Scrub","5"
"96","QR BURN G01",0.396464646464647,2022,"Quail Ridge","Burn","Grassland","1"
"97","QR BURN G02 ",0.423632935260842,2022,"Quail Ridge","Burn","Grassland","2"
"98","QR BURN G03 ",0.539493670886076,2022,"Quail Ridge","Burn","Grassland","3"
"99","QR BURN G04",0.751682692307692,2022,"Quail Ridge","Burn","Grassland","4"
"100","QR BURN G05",0.354838709677419,2022,"Quail Ridge","Burn","Grassland","5"
"101","QR BURN O01",0.666602353849122,2022,"Quail Ridge","Burn","Forest","1"
"102","QR BURN O02 ",0.495477671000565,2022,"Quail Ridge","Burn","Forest","2"
"103","QR BURN O03 ",0.702294685990338,2022,"Quail Ridge","Burn","Forest","3"
"104","QR BURN O04",0.650735294117647,2022,"Quail Ridge","Burn","Forest","4"
"105","QR BURN O05",0.625601711535033,2022,"Quail Ridge","Burn","Forest","5"
"106","HT BURN C01 ",0.526792888036325,2020,"Hastings","Burn","Scrub","1"
"107","HT BURN C02",0.495455493367656,2020,"Hastings","Burn","Scrub","2"
"108","HT BURN C03 ",0.524395607338014,2020,"Hastings","Burn","Scrub","3"
"109","HT BURN C04 ",0.573163018265661,2020,"Hastings","Burn","Scrub","4"
"110","HT BURN C05 ",0.479102628072417,2020,"Hastings","Burn","Scrub","5"
"111","HT BURN G01 ",0.291967480634808,2020,"Hastings","Burn","Grassland","1"
"112","HT BURN G02 ",0.339075228168997,2020,"Hastings","Burn","Grassland","2"
"113","HT BURN G03 ",0.458049675554415,2020,"Hastings","Burn","Grassland","3"
"114","HT BURN G04 ",0.401400596776465,2020,"Hastings","Burn","Grassland","4"
"115","HT BURN G05 ",0.615963408534745,2020,"Hastings","Burn","Grassland","5"
"116","HT BURN O01 ",0.54995864429545,2020,"Hastings","Burn","Forest","1"
"117","HT BURN O02 ",0.663078186928319,2020,"Hastings","Burn","Forest","2"
"118","HT BURN O03 ",0.618196948571725,2020,"Hastings","Burn","Forest","3"
"119","HT BURN O04 ",0.596252220166572,2020,"Hastings","Burn","Forest","4"
"120","HT BURN O05 ",0.610165546559878,2020,"Hastings","Burn","Forest","5"
"121","HT UNBURN C01 ",0.510086119794367,2020,"Hastings","Unburn","Scrub","1"
"122","HT UNBURN C02",0.538493669605066,2020,"Hastings","Unburn","Scrub","2"
"123","HT UNBURN C03 ",0.582105384255498,2020,"Hastings","Unburn","Scrub","3"
"124","HT UNBURN C04 ",0.583361448159303,2020,"Hastings","Unburn","Scrub","4"
"125","HT UNBURN C05",0.521052178457543,2020,"Hastings","Unburn","Scrub","5"
"126","HT UNBURN G01 ",0.499867920332351,2020,"Hastings","Unburn","Grassland","1"
"127","HT UNBURN G02 ",0.469944867973744,2020,"Hastings","Unburn","Grassland","2"
"128","HT UNBURN G03 ",0.599915397912773,2020,"Hastings","Unburn","Grassland","3"
"129","HT UNBURN G04 ",0.695427029100862,2020,"Hastings","Unburn","Grassland","4"
"130","HT UNBURN G05 ",0.576097281397282,2020,"Hastings","Unburn","Grassland","5"
"131","HT UNBURN O01 ",0.680950284889977,2020,"Hastings","Unburn","Forest","1"
"132","HT UNBURN O02",0.697724117405319,2020,"Hastings","Unburn","Forest","2"
"133","HT UNBURN O03 ",0.684293458568913,2020,"Hastings","Unburn","Forest","3"
"134","HT UNBURN O04 ",0.718557754186357,2020,"Hastings","Unburn","Forest","4"
"135","HT UNBURN O05 ",0.601248485947326,2020,"Hastings","Unburn","Forest","5"
"136","HT BURN C01 ",0.369120185572658,2021,"Hastings","Burn","Scrub","1"
"137","HT BURN C02",0.401042828280654,2021,"Hastings","Burn","Scrub","2"
"138","HT BURN C03 ",0.423126159542507,2021,"Hastings","Burn","Scrub","3"
